id,bank,account_number,monthly_fee,wfh
2021001,BPI,1093 5000 5001,4500,Y
2021002,BPI,1093 5000 5002,3500,Y
2021003,BPI,1093 5000 5003,4500,Y
2021004,BPI,1093 5000 5004,4500,Y
2021005,BPI,1093 5000 5005,6000,Y
2021006,BPI,1093 5000 5006,4500,Y
2021007,BPI,1093 5000 5007,5000,Y
2021008,BPI,1093 5000 5008,4500,Y
2021009,BPI,1093 5000 5009,4500,N
2021010,BPI,1093 5000 5010,6000,N
2021011,BPI,1093 5000 5011,4500,N
2021012,BPI,1093 5000 5012,3500,N
2021013,BPI,1093 5000 5013,4500,N
2021014,BPI,1093 5000 5014,4500,N
2021015,BPI,1093 5000 5015,5000,Y
2021016,BPI,1093 5000 5016,4500,Y
2021017,BPI,1093 5000 5017,6000,Y
2021018,BPI,1093 5000 5018,3500,Y
2021019,BPI,1093 5000 5019,4500,Y
2021020,BPI,1093 5000 5020,4500,Y
